k_nn,threshold,kappa_grid_best,mse_grid_best,joint_success,params_joint,mse_joint
1,0.001,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202
1,0.01,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202
1,0.05,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202
2,0.001,-0.5,4.0831498229231595,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344001
2,0.01,-0.5,4.0831498229231595,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344001
2,0.05,-0.5,4.0831498229231595,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344001
3,0.001,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995665
3,0.01,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995665
3,0.05,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995665
4,0.001,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896
4,0.01,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896
4,0.05,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896
