,IBOV,GSPC,HSI,SSE,SZ,MOEX,FCHI,GDAXI,FTSE,N225,GSPTSE
IBOV,1737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSPC,0.0,1760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723.0
HSI,0.0,0.0,1721.0,1643.0,1643.0,0.0,0.0,0.0,0.0,0.0,0.0
SSE,0.0,0.0,1643.0,1696.0,1696.0,0.0,0.0,0.0,0.0,0.0,0.0
SZ,0.0,0.0,1643.0,1696.0,1696.0,0.0,0.0,0.0,0.0,0.0,0.0
MOEX,0.0,0.0,0.0,0.0,0.0,1593.0,0.0,0.0,0.0,0.0,0.0
FCHI,0.0,0.0,0.0,0.0,0.0,0.0,1792.0,1777.0,0.0,0.0,0.0
GDAXI,0.0,0.0,0.0,0.0,0.0,0.0,1777.0,1777.0,0.0,0.0,0.0
FTSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.0,0.0,0.0
N225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1709.0,0.0
GSPTSE,0.0,1723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756.0
